ID;Typ;Beschr.;LF-Typ;U_reg_%;U_Winkel_°;P_betr_MW;Q betr_MVAr;Slack-Anteil_%;Fernregelung;"Sk""max_MVA";"Sk""min_MVA";"Ik""max_kA";"Ik""min_kA";Ik'max_kA;Ik'min_kA;"Ik"" gem. IEC";Ebetr;Z(0)/Z(1) max;Z(0)/Z(1) min;R(1)/X(1) max;R(1)/X(1) min;Ikw max;Ikw min;R(0)/X(0) max;R(0)/X(0) min;C1_mF;c0;c1;c2;MultFac;VariableLast;Prodiktionstyp;MinQ;MinP;MaxQ;MaxP;RelIdeal;RelType;RelLoadCharact;Priority;ScTimeDec;FrequencyDependence;Proz_wert;EnergyIdentificationCodeEIC;GroupType;Rating
1;Middelbeers (20kV-SS);;0;100;0;0;0;0;False;516;273;18.61;9.86;0;0;1;1;1;30;0.038;0.033;-87.82380745;-88.10992517;0;0;0;0;0;0;1;True;0;0;0;0;0;False;;;0;0.04;;False;;;0
2;Middelbeers (20kV-SS);;0;100;0;0;0;0;False;490;266;17.69;9.59;0;0;1;1;1;30;0.051;0.04;-87.08044475;-87.70938996;0;0;0;0;0;0;1;True;0;0;0;0;0;False;;;0;0.04;;False;;;0
